Countries,Recovered
Afghanistan,-2.3076923076923075
Albania,2.384615384615385
Algeria,22.0
Andorra,-5.384615384615385
Angola,1.6923076923076923
Antigua and Barbuda,0.0
Argentina,36.69230769230769
Armenia,13.0
Australia,-107.15384615384616
Austria,68.84615384615387
Azerbaijan,26.76923076923077
Bahamas,-0.3076923076923077
Bahrain,-5.76923076923077
Bangladesh,1.3846153846153846
Barbados,-0.8461538461538461
Belarus,-7.76923076923077
Belgium,62.076923076923094
Belize,0.0
Benin,-0.38461538461538464
Bhutan,-0.15384615384615385
Bolivia,-0.15384615384615385
Bosnia and Herzegovina,-0.07692307692307665
Brazil,-12.846153846153847
Brunei,-0.384615384615385
Bulgaria,4.3076923076923075
Burkina Faso,-1.1538461538461533
Cabo Verde,-0.07692307692307693
Cambodia,-1.1538461538461542
Cameroon,-7.153846153846154
Canada,263.0
Central African Republic,0.0
Chad,-0.15384615384615385
Chile,155.3846153846154
China,-90.53846153846155
Colombia,1.3076923076923084
Congo (Brazzaville),-0.38461538461538464
Congo (Kinshasa),1.9230769230769231
Costa Rica,3.4615384615384617
Cote d'Ivoire,1.8461538461538458
Croatia,71.15384615384616
Diamond Princess,-1.2307692307692308
Cuba,20.384615384615387
Cyprus,-0.5384615384615383
Czechia,34.230769230769226
Denmark,25.230769230769226
Djibouti,-2.769230769230769
Dominica,-0.38461538461538464
Dominican Republic,1.9230769230769234
Ecuador,11.615384615384617
Egypt,19.384615384615383
El Salvador,2.5384615384615383
Equatorial Guinea,-0.23076923076923078
Eritrea,0.0
Estonia,-5.615384615384615
Eswatini,-0.5384615384615384
Ethiopia,5.3076923076923075
Fiji,0.0
Finland,-22.307692307692307
France,-27.15384615384619
Gabon,-0.07692307692307693
Gambia,-0.15384615384615385
Georgia,2.769230769230769
Germany,-219.8461538461538
Ghana,-0.15384615384615385
Grenada,0.0
Greece,-16.692307692307693
Guatemala,1.3076923076923077
Guinea,0.6923076923076923
Guinea-Bissau,0.0
Guyana,-0.6153846153846154
Haiti,0.07692307692307693
Holy See,-0.15384615384615385
Honduras,-0.3076923076923077
Hungary,-3.230769230769231
Iceland,35.69230769230769
India,127.76923076923077
Indonesia,-13.076923076923077
Iran,4208.461538461539
Iraq,15.769230769230766
Ireland,-1.5384615384615385
Israel,65.0
Italy,578.6923076923076
Jamaica,-0.8461538461538461
Japan,51.0
Jordan,-5.23076923076923
Kazakhstan,12.307692307692307
Kenya,0.23076923076923084
"Korea, South",-44.0
Kuwait,4.923076923076923
Kyrgyzstan,5.615384615384615
Latvia,-1.1538461538461537
Lebanon,-2.6153846153846154
Liberia,-0.23076923076923078
Libya,-0.6153846153846154
Liechtenstein,-4.230769230769231
Lithuania,-4.076923076923077
Luxembourg,-35.38461538461539
Madagascar,-0.8461538461538461
Malaysia,41.38461538461539
Maldives,0.0
Mali,-1.6923076923076923
Malta,-1.0769230769230769
Mauritania,0.0
Mauritius,2.8461538461538463
Mexico,-48.38461538461539
Moldova,13.384615384615385
Monaco,-0.3076923076923077
Mongolia,-0.3076923076923077
Montenegro,0.6153846153846154
Morocco,13.76923076923077
Mozambique,-0.15384615384615385
Namibia,-0.07692307692307693
Nepal,0.0
Netherlands,1.076923076923077
New Zealand,20.846153846153847
Nicaragua,0.0
Niger,-3.1538461538461537
Nigeria,6.846153846153846
North Macedonia,-2.923076923076923
Norway,-1.9230769230769231
Oman,-6.615384615384615
Pakistan,-21.384615384615387
Panama,0.0
Papua New Guinea,0.0
Paraguay,-1.3076923076923077
Peru,37.46153846153845
Philippines,8.153846153846153
Poland,28.692307692307693
Portugal,15.846153846153847
Qatar,4.692307692307692
Romania,-13.46153846153846
Russia,174.53846153846155
Rwanda,9.615384615384615
Saint Kitts and Nevis,0.0
Saint Lucia,0.0
Saint Vincent and the Grenadines,0.0
San Marino,-0.6153846153846154
Saudi Arabia,-15.307692307692307
Senegal,5.384615384615385
Serbia,0.0
Seychelles,0.0
Singapore,11.692307692307693
Slovakia,-1.6153846153846154
Slovenia,0.384615384615385
Somalia,-0.07692307692307693
South Africa,-29.153846153846153
Spain,25.615384615384755
Sri Lanka,-3.3076923076923075
Sudan,-0.15384615384615385
Suriname,-0.3076923076923077
Sweden,-28.076923076923077
Switzerland,191.9230769230769
Syria,0.6153846153846154
Taiwan*,2.6923076923076925
Tanzania,-0.3076923076923077
Thailand,42.15384615384616
Timor-Leste,-0.07692307692307693
Togo,-1.8461538461538463
Trinidad and Tobago,10.153846153846153
Tunisia,14.846153846153847
Turkey,322.0
Uganda,3.6923076923076925
Ukraine,12.384615384615385
United Arab Emirates,129.23076923076923
United Kingdom,-2.2307692307692335
Uruguay,-8.46153846153846
US,279.61538461538476
Uzbekistan,-2.6923076923076925
Venezuela,4.846153846153846
Vietnam,-9.153846153846153
Zambia,0.8461538461538463
Zimbabwe,0.0
West Bank and Gaza,9.0
Laos,0.0
Kosovo,1.615384615384615
Burma,-0.15384615384615385
MS Zaandam,0.0
Botswana,0.0
Burundi,0.0
Sierra Leone,0.0
Malawi,0.0
South Sudan,0.0
Western Sahara,0.0
Sao Tome and Principe,0.0
Yemen,0.0
